,COD_MUNI__,perc_access,road_access,total_pop
0,0,47.0,388.3197326660156,835.026611328125
1,0,47.0,709.7120361328125,1503.66650390625
2,2000,5.0,2.3800950050354004,52.139976501464844
3,1420,12.0,11896.599609375,103138.3671875
4,1326,8.0,12298.4609375,146572.859375
5,1615,11.0,7184.96044921875,67319.5078125
6,1318,11.0,4783.4208984375,41613.51953125
7,1305,9.0,4124.33056640625,46418.30859375
8,1601,17.0,41448.43359375,243942.3125
9,1801,21.0,22550.505859375,109725.46875
10,1802,6.0,3067.6328125,47563.78515625
11,1802,7.0,1474.7156982421875,19887.44921875
12,1614,6.0,1663.7926025390625,27656.12890625
13,1325,12.0,3032.947998046875,25629.125
14,1802,6.0,3067.6328125,47563.78515625
15,1802,7.0,1474.7156982421875,19887.44921875
16,1317,3.0,1469.6763916015625,49332.85546875
17,1413,11.0,9441.5673828125,89309.0390625
18,1307,8.0,3803.400390625,46030.4921875
19,1331,14.0,1364.9393310546875,9745.322265625
20,1313,20.0,5240.2265625,26783.58984375
21,1405,8.0,4313.9912109375,55351.54296875
22,1609,10.0,23446.830078125,231226.0625
23,1314,22.0,2742.38232421875,12535.392578125
24,1415,8.0,5590.6455078125,70235.953125
25,1612,5.0,3137.429931640625,62767.8828125
26,1324,20.0,3714.8359375,18484.85546875
27,1308,9.0,4489.2265625,52210.15625
28,1312,17.0,4474.14501953125,26506.517578125
29,1803,7.0,5323.0947265625,79576.546875
30,1323,13.0,3825.3896484375,29301.51953125
31,1611,10.0,2583.215576171875,25953.115234375
32,1804,14.0,16803.4765625,120992.1796875
33,1302,14.0,13901.4599609375,97178.890625
34,1311,12.0,4850.9619140625,39663.3046875
35,1304,10.0,6445.62353515625,62373.7890625
36,1419,13.0,4812.7802734375,38199.18359375
37,1805,10.0,6746.39501953125,66634.9765625
38,1608,11.0,7491.6982421875,70535.53125
39,1607,12.0,7267.7255859375,62581.453125
40,1327,12.0,6433.1328125,55741.14453125
41,1316,18.0,2983.49462890625,16342.7060546875
42,1309,18.0,8246.6650390625,46129.2890625
43,1320,17.0,5032.4697265625,30437.814453125
44,1603,13.0,8396.6298828125,63593.36328125
45,1411,18.0,5239.7080078125,29593.865234375
46,1319,28.0,7699.40380859375,27797.921875
47,1610,25.0,15228.884765625,61076.80078125
48,1328,20.0,1777.9163818359375,9069.1572265625
49,1321,15.0,1311.53564453125,8701.52734375
50,1410,17.0,6563.5009765625,38134.546875
51,1207,15.0,11977.703125,80436.796875
52,1329,32.0,2414.8701171875,7480.35693359375
53,1310,20.0,3761.8505859375,18441.013671875
54,1602,24.0,9454.705078125,38783.5859375
55,1301,18.0,20337.146484375,115177.3671875
56,1606,14.0,5931.4560546875,43482.125
57,1605,13.0,2709.3544921875,21003.173828125
58,1604,17.0,6197.115234375,36872.703125
59,1206,24.0,14463.095703125,61434.703125
60,1504,5.0,3574.55712890625,65087.078125
61,1414,13.0,3494.40576171875,26944.99609375
62,1205,31.0,12101.330078125,38484.32421875
63,1416,13.0,6640.333984375,49912.56640625
64,1303,24.0,26882.310546875,113050.421875
65,1904,13.0,5703.38671875,42421.9453125
66,1508,11.0,5879.32080078125,54148.99609375
67,1502,16.0,4780.94287109375,29767.703125
68,1224,24.0,4959.53955078125,20772.041015625
69,1503,9.0,3436.927978515625,37905.97265625
70,1418,14.0,1860.1259765625,13004.2822265625
71,805,22.0,29867.775390625,134676.65625
72,1226,24.0,4698.4951171875,19532.880859375
73,1501,17.0,10355.0009765625,59426.79296875
74,1409,19.0,5709.1123046875,30527.17578125
75,1210,32.0,11055.7880859375,34939.83984375
76,1417,9.0,859.399658203125,9118.736328125
77,904,22.0,8209.0,37442.0234375
78,1903,10.0,1857.21337890625,18830.103515625
79,807,17.0,3975.957275390625,22998.8046875
80,1204,33.0,21260.51953125,64956.81640625
81,1223,25.0,7623.24169921875,30137.412109375
82,1905,11.0,1938.0526123046875,18155.951171875
83,1208,16.0,2811.96630859375,17231.859375
84,1404,7.0,3270.215576171875,48575.0625
85,203,9.0,3659.4248046875,41884.60546875
86,906,16.0,4341.7744140625,26711.78125
87,808,15.0,2949.62890625,19233.654296875
88,1209,11.0,6785.802734375,59535.64453125
89,1507,14.0,3463.203369140625,23929.09765625
90,806,8.0,3843.754638671875,51136.046875
91,1408,18.0,4121.2978515625,22934.884765625
92,202,12.0,1542.024169921875,12800.11328125
93,1401,30.0,32113.21875,106953.984375
94,1412,14.0,11604.9140625,83486.5234375
95,204,10.0,740.9793701171875,7383.9169921875
96,1403,19.0,2135.90625,11309.4921875
97,1228,42.0,2547.6162109375,5999.8310546875
98,1906,23.0,2692.7060546875,11478.548828125
